20170924203327,10.0.0.4,37592,10.0.0.5,5001,3,0.0-1.0,434400,3475200
20170924203328,10.0.0.3,49212,10.0.0.5,5001,3,1.0-2.0,365480,2923840
20170924203329,10.0.0.3,49212,10.0.0.5,5001,3,2.0-3.0,457624,3660992
20170924203330,10.0.0.3,49212,10.0.0.5,5001,3,3.0-4.0,324296,2594368
20170924203331,10.0.0.3,49212,10.0.0.5,5001,3,4.0-5.0,325800,2606400
20170924203332,10.0.0.3,49212,10.0.0.5,5001,3,5.0-6.0,325800,2606400
20170924203333,10.0.0.3,49212,10.0.0.5,5001,3,6.0-7.0,260640,2085120
20170924203334,10.0.0.2,59666,10.0.0.5,5001,3,7.0-8.0,390960,3127680
20170924203335,10.0.0.2,59666,10.0.0.5,5001,3,8.0-9.0,325800,2606400
20170924203336,10.0.0.2,59666,10.0.0.5,5001,3,9.0-10.0,390960,3127680
20170924203337,10.0.0.4,37592,10.0.0.5,5001,3,10.0-11.0,325800,2606400
20170924203338,10.0.0.4,37592,10.0.0.5,5001,3,11.0-12.0,260640,2085120
20170924203339,10.0.0.4,37592,10.0.0.5,5001,3,12.0-13.0,325800,2606400
20170924203340,10.0.0.4,37592,10.0.0.5,5001,3,13.0-14.0,392464,3139712
20170924203341,10.0.0.4,37592,10.0.0.5,5001,3,14.0-15.0,454616,3636928
20170924203342,10.0.0.3,49212,10.0.0.5,5001,3,15.0-16.0,260640,2085122020170924203343,10.0.0.3,49212,10.0.0.5,5001,3,16.0-17.0,260640,2085122020170924203344,10.0.0.3,49212,10.0.0.5,5001,3,17.0-18.0,260640,2085122020170924203345,10.0.0.3,49212,10.0.0.5,5001,3,18.0-19.0,195480,1563842020170924203346,10.0.0.3,49212,10.0.0.5,5001,3,19.0-20.0,260640,2085122020170924203347,10.0.0.3,49212,10.0.0.5,5001,3,20.0-21.0,260640,2085122020170924203348,10.0.0.3,49212,10.0.0.5,5001,3,21.0-22.0,260640,2085122020170924203349,10.0.0.3,49212,10.0.0.5,5001,3,22.0-23.0,260640,2085122020170924203350,10.0.0.3,49212,10.0.0.5,5001,3,23.0-24.0,260640,2085122020170924203351,10.0.0.3,49212,10.0.0.5,5001,3,24.0-25.0,195480,1563842020170924203352,10.0.0.3,49212,10.0.0.5,5001,3,25.0-26.0,260640,2085122020170924203353,10.0.0.3,49212,10.0.0.5,5001,3,26.0-27.0,195480,1563842020170924203354,10.0.0.3,49212,10.0.0.5,5001,3,27.0-28.0,260640,2085122020170924203355,10.0.0.4,37592,10.0.0.5,5001,3,28.0-29.0,586440,4691522020170924203356,10.0.0.4,37592,10.0.0.5,5001,3,29.0-30.0,521280,4170240
20170924203356,10.0.0.4,37592,10.0.0.5,5001,3,0.0-30.4,12358680,3257433
